Driver,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0
ALB,10.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,16.0,15.0,15.0,14.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,16.0,16.0,16.0,15.0,15.0,14.0,14.0,13.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
ALO,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,4.0,6.0,13.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
BOT,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,18.0,16.0,17.0,17.0,16.0,16.0,15.0,14.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,14.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
GAS,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,14.0,18.0,18.0,17.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,13.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0
HAM,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
HUL,16.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,18.0,17.0,17.0,16.0,14.0,14.0,13.0,14.0,15.0,14.0,15.0,16.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0
LEC,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,7.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
MAG,17.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,13.0,13.0,12.0,12.0,10.0,9.0,9.0,9.0,12.0,18.0,18.0,18.0,17.0,15.0,15.0,14.0,14.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0
NOR,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,3.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
OCO,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,8.0,8.0,17.0,16.0,14.0,13.0,13.0,12.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0
PER,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0
PIA,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
RIC,14.0,14.0,14.0,14.0,14.0,14.0,14.0,17.0,17.0,16.0,16.0,15.0,13.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,13.0,17.0,16.0,15.0,15.0,14.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0
RUS,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAI,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
SAR,20.0,20.0,19.0,19.0,19.0,19.0,18.0,18.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,18.0,18.0,17.0,17.0,17.0,16.0,16.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0
STR,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,12.0,12.0,9.0,11.0,19.0,18.0,18.0,17.0,17.0,16.0,16.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
TSU,19.0,19.0,18.0,18.0,18.0,18.0,17.0,16.0,15.0,14.0,14.0,13.0,11.0,10.0,16.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
VER,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,13.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ZHO,18.0,18.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
