,VER,NOR,RUS,HAM,PIA,ALO,STR,RIC,GAS,OCO,HUL,MAG,BOT,TSU,ZHO,SAI,ALB,PER,LEC,SAR
1.0,1.2700000000000387,2.9990000000000236,0.0,6.437000000000012,4.735000000000014,5.566000000000031,9.124000000000024,7.581999999999994,16.938000000000045,15.203000000000031,12.412000000000035,8.104000000000042,18.084000000000003,10.982000000000028,19.840000000000032,13.939999999999998,12.064000000000021,16.337000000000046,10.689000000000021,13.962000000000046
2.0,2.3859999999999673,4.645999999999958,0.0,10.259999999999991,6.769999999999982,9.637999999999977,13.533999999999992,12.632000000000005,23.486999999999966,21.584000000000003,14.495999999999981,8.340999999999951,24.550999999999988,17.351,26.951999999999998,19.962999999999965,18.418000000000006,22.56099999999998,16.248999999999967,18.952999999999975
3.0,2.4329999999999927,4.81899999999996,0.0,12.577999999999975,8.789999999999964,11.45799999999997,17.825999999999908,16.79499999999996,27.58699999999999,25.34699999999998,14.750999999999976,8.07899999999995,28.909999999999968,20.889999999999986,31.966000000000008,24.043999999999983,21.968999999999937,26.219999999999914,19.09999999999991,24.305999999999926
4.0,2.953000000000088,5.372000000000071,0.0,14.658999999999992,11.799000000000092,13.516000000000076,20.543000000000006,19.714000000000055,31.908999999999992,30.508000000000038,15.219000000000051,7.48700000000008,32.93299999999999,23.780000000000086,37.166000000000054,27.090000000000032,25.30600000000004,31.004999999999995,22.328000000000088,28.242000000000075
5.0,2.717999999999961,6.163000000000011,0.0,16.470000000000027,14.294999999999959,15.766999999999939,23.492999999999938,23.008000000000038,36.660999999999945,34.920999999999935,17.229000000000042,7.9220000000000255,37.476,25.567999999999984,41.399,30.375,29.288999999999987,35.490999999999985,24.591999999999985,32.50800000000004
6.0,2.4529999999999745,8.301000000000045,0.0,19.235000000000014,14.456000000000017,19.187999999999988,27.249000000000024,26.793000000000006,40.33600000000001,38.523000000000025,20.508000000000038,9.696000000000026,41.61299999999994,29.31499999999994,46.02800000000002,33.22500000000002,32.307000000000016,38.96899999999994,27.992999999999938,57.934999999999945
7.0,2.73700000000008,9.874000000000024,0.0,24.127000000000066,15.436000000000035,23.345000000000027,29.970000000000027,29.81600000000003,44.70600000000002,41.269000000000005,25.692000000000007,34.141000000000076,46.294000000000096,32.51700000000005,50.37200000000007,35.97600000000011,35.30200000000002,42.06600000000003,31.56000000000006,60.992000000000075
8.0,2.0359999999999445,9.705999999999904,0.0,25.18399999999997,15.101999999999975,24.44399999999996,32.05199999999991,31.690000000000055,46.100999999999885,43.103000000000065,28.394999999999982,40.6579999999999,48.50700000000006,34.54099999999994,52.79399999999987,37.61199999999985,36.798,43.730999999999995,33.860999999999876,63.68599999999992
9.0,1.793999999999869,9.164999999999964,0.0,25.792999999999893,15.743999999999915,24.908999999999878,34.500999999999976,33.80699999999979,47.45999999999981,45.58899999999994,32.26099999999997,43.952,50.56699999999978,37.01999999999998,55.45699999999988,39.36499999999978,38.621999999999844,46.49799999999982,36.250999999999976,65.25199999999995
10.0,1.2989999999999782,10.2349999999999,0.0,26.419999999999845,15.413000000000011,25.144000000000005,37.496999999999844,37.39899999999989,49.15599999999995,47.230999999999995,37.141999999999825,45.29099999999994,52.19899999999984,39.25800000000004,58.572999999999865,41.128999999999905,40.437999999999874,47.91300000000001,38.554999999999836,66.52199999999993
11.0,1.2580000000000382,8.52599999999984,0.0,25.63499999999999,14.676999999999907,24.773999999999887,42.000999999999976,41.162000000000035,52.733999999999924,48.38599999999997,42.072999999999865,46.297000000000025,54.125999999999976,43.51700000000005,60.822999999999865,44.42399999999998,43.98299999999995,50.50599999999986,42.97399999999993,66.856
12.0,0.8040000000000873,7.649000000000115,0.0,25.086000000000013,13.893000000000029,24.597999999999956,43.756000000000085,42.230999999999995,53.25,51.05600000000004,64.77099999999996,49.69100000000003,55.766000000000076,47.56600000000003,62.194999999999936,48.70900000000006,48.146999999999935,52.118999999999915,46.6869999999999,66.93900000000008
13.0,0.7539999999999054,7.24799999999982,0.0,25.186999999999898,14.167999999999893,24.676999999999907,45.42899999999986,43.899999999999864,55.48799999999983,53.71799999999985,70.45999999999981,52.20399999999995,57.2199999999998,49.346000000000004,65.37699999999995,50.80399999999986,49.83999999999992,54.33899999999994,48.625,71.17499999999995
14.0,0.5030000000001564,5.326999999999998,0.0,25.902000000000044,12.963000000000193,24.213000000000193,46.09700000000021,44.08600000000001,57.06800000000021,55.021000000000186,70.59400000000005,53.565000000000055,58.50200000000018,50.190000000000055,67.02100000000019,51.91800000000012,50.894000000000005,56.144000000000005,49.01800000000003,72.346
15.0,0.43499999999994543,4.255999999999858,0.0,25.019999999999982,12.162000000000035,23.498000000000047,46.40899999999988,44.124000000000024,58.259000000000015,55.83600000000001,71.13300000000004,53.87099999999987,60.28600000000006,50.750999999999976,68.86699999999996,52.30099999999993,51.215999999999894,57.037000000000035,49.18100000000004,72.82199999999989
16.0,1.08199999999988,3.3179999999999836,0.0,24.260999999999967,11.434999999999945,22.884000000000015,46.682000000000016,44.516000000000076,59.22399999999993,56.557000000000016,72.7829999999999,54.567999999999984,62.53399999999988,51.787000000000035,71.06600000000003,53.789999999999964,52.388999999999896,57.99800000000005,50.368999999999915,74.80899999999997
17.0,2.73700000000008,3.4190000000000964,0.0,24.086000000000013,10.246000000000095,23.531000000000176,46.44600000000014,44.702,59.60500000000002,57.16399999999999,73.67200000000003,54.80400000000009,63.769000000000005,52.312000000000126,72.05600000000004,53.77200000000016,53.52200000000016,59.11500000000001,51.093000000000075,75.144
18.0,1.816000000000031,2.2940000000000964,0.0,22.74200000000019,8.865000000000009,22.49200000000019,46.225000000000136,44.30400000000009,61.18100000000004,57.20900000000006,73.65700000000015,54.88000000000011,63.751000000000204,52.687000000000126,72.41400000000021,53.894000000000005,52.919000000000096,59.402000000000044,51.0150000000001,75.20700000000011
19.0,1.29099999999994,1.5450000000000728,0.0,23.03300000000013,7.867999999999938,22.15800000000013,46.57899999999995,44.45700000000011,62.06700000000001,58.24400000000014,74.59899999999993,56.17900000000009,65.37400000000002,52.82899999999995,74.11800000000017,54.266000000000076,52.23500000000013,59.87699999999995,51.596000000000004,75.16500000000019
20.0,1.542000000000371,1.0040000000003602,0.0,22.317000000000007,7.245000000000346,21.632000000000062,47.45900000000029,44.9970000000003,62.871000000000095,59.36799999999994,76.21300000000019,57.778999999999996,66.125,54.61000000000013,77.35300000000007,55.48000000000002,53.0590000000002,61.89300000000003,53.79600000000028,78.40800000000036
21.0,1.9239999999999782,0.0,2.25899999999956,21.713999999999942,6.399999999999636,21.505999999999858,47.990999999999985,44.935999999999694,64.43099999999959,61.00099999999975,77.09199999999964,58.99399999999969,67.97799999999961,55.35499999999956,79.17099999999982,57.38299999999981,53.991999999999734,67.15999999999985,55.916999999999916,81.49799999999959
22.0,4.085000000000036,0.0,5.4090000000001055,22.722999999999956,7.332000000000335,22.528000000000247,49.98500000000013,46.46900000000005,65.16700000000037,63.22600000000011,79.05799999999999,61.70900000000029,71.48500000000013,57.74900000000025,82.76999999999998,59.84900000000016,55.76999999999998,68.91499999999996,58.740999999999985,83.80000000000018
23.0,5.429999999999836,0.0,7.057000000000244,24.01000000000022,7.936000000000149,23.259000000000015,51.9050000000002,47.90700000000015,65.00500000000011,64.7159999999999,79.94900000000007,63.66100000000006,73.97900000000027,59.08600000000024,86.61000000000013,61.44200000000001,57.289999999999964,70.08699999999999,60.11799999999994,87.52300000000014
24.0,7.721000000000004,0.0,9.07400000000007,25.597999999999956,9.465999999999894,25.18000000000029,53.432000000000244,49.39000000000033,67.80099999999993,67.17399999999998,87.65000000000009,66.48100000000022,78.3119999999999,61.32900000000018,113.6590000000001,63.22600000000011,59.26200000000017,71.96399999999994,63.016000000000076,23.97400000000016
25.0,30.2170000000001,0.0,30.496000000000095,51.307000000000244,31.539000000000215,52.61000000000013,85.17399999999998,68.15300000000025,105.27399999999989,88.4670000000001,120.22400000000016,104.279,101.36000000000013,80.62800000000016,135.60600000000022,103.47499999999991,93.38200000000006,116.98000000000002,96.57299999999987,
26.0,0.0,1.5650000000000546,2.0970000000002074,26.20300000000043,3.369000000000142,32.03800000000001,57.89800000000014,61.2470000000003,78.60800000000017,60.33800000000019,90.81500000000005,77.50600000000031,74.13300000000027,52.53500000000031,98.98400000000038,74.25,65.01700000000028,88.99100000000044,68.09800000000041,
27.0,0.0,3.0579999999999927,1.0039999999999054,5.2970000000000255,4.434999999999945,14.144000000000233,25.534000000000106,35.85500000000002,51.621999999999844,28.583000000000084,57.353000000000065,49.02300000000014,45.833000000000084,21.378999999999905,67.33500000000004,47.10400000000027,38.82900000000018,53.472999999999956,43.28099999999995,
28.0,0.0,2.548999999999978,1.7219999999997526,4.631999999999607,3.6429999999995744,5.390999999999622,10.00799999999981,13.6899999999996,25.27599999999984,11.644999999999982,28.759999999999764,23.915999999999713,19.37599999999975,8.545999999999822,36.504999999999654,22.442000000000007,14.989999999999782,26.74499999999989,53.71499999999969,
29.0,0.0,1.0619999999998981,0.4459999999999127,1.9949999999998909,1.41399999999976,2.6210000000000946,4.503999999999905,5.923999999999978,7.908999999999651,5.264999999999873,9.483999999999924,7.51299999999992,6.529999999999745,3.6230000000000473,10.029999999999745,6.9529999999999745,6.054999999999836,8.484999999999673,19.677999999999884,
30.0,0.0,1.9369999999998981,0.7829999999999018,3.5529999999998836,2.65099999999984,4.898000000000138,6.485000000000127,10.391999999999825,11.253000000000156,10.264999999999873,12.114999999999782,11.067000000000007,10.83199999999988,5.9229999999997744,13.018999999999778,10.989000000000033,9.097999999999956,11.630999999999858,38.197000000000116,
31.0,0.0,2.8869999999997162,1.4049999999997453,4.866999999999734,3.994000000000142,6.170999999999822,8.235999999999876,13.322999999999865,14.556999999999789,12.422999999999774,18.87599999999975,15.44399999999996,13.567000000000007,7.739000000000033,17.434999999999945,14.114999999999782,10.253999999999905,16.19399999999996,82.63499999999976,
32.0,0.0,2.7349999999996726,1.1739999999999782,5.700999999999567,3.5039999999999054,7.181999999999789,8.479999999999563,14.276999999999589,15.588999999999942,13.093999999999596,19.236999999999625,16.930999999999585,15.000999999999749,8.274999999999636,18.424999999999727,15.231999999999971,10.690999999999804,17.825999999999567,86.26699999999983,
33.0,0.0,2.2100000000000364,0.9630000000001928,5.108999999999924,3.630999999999858,8.356999999999971,9.797000000000025,14.623000000000047,16.985999999999876,13.713000000000193,21.039999999999964,17.688000000000102,15.753999999999905,9.56100000000015,20.333999999999833,16.40599999999995,11.512000000000171,18.710999999999785,85.00799999999981,
34.0,0.0,2.5529999999998836,0.8920000000002801,4.7150000000001455,3.331000000000131,9.45699999999988,11.878999999999905,16.019000000000233,18.166000000000167,14.855000000000018,22.603000000000065,18.94100000000026,16.766000000000076,11.00500000000011,21.628999999999905,17.10199999999986,13.72400000000016,19.56100000000015,85.30799999999999,
35.0,0.0,3.068000000000211,1.425000000000182,4.8530000000000655,3.7260000000001128,10.537000000000262,13.152000000000044,17.86100000000033,19.80600000000004,16.882000000000062,24.527000000000044,20.649000000000342,18.382000000000062,12.744000000000142,23.9970000000003,19.009000000000015,15.68600000000015,21.47400000000016,88.75199999999995,
36.0,0.0,3.168999999999869,1.8049999999998363,4.9529999999999745,4.518999999999778,11.94900000000007,14.581000000000131,19.929000000000087,21.136999999999716,18.519999999999982,25.840999999999894,21.95699999999988,20.289999999999964,14.240999999999985,25.376999999999953,20.644999999999982,17.43100000000004,22.55099999999993,94.43299999999999,
37.0,0.0,3.5949999999998,2.298999999999978,6.067999999999756,4.539999999999964,13.538000000000011,16.411999999999807,21.096999999999753,23.031999999999698,20.442000000000007,27.06399999999985,24.491999999999734,21.664999999999964,15.36200000000008,27.739000000000033,22.192000000000007,19.09400000000005,24.28099999999995,95.69999999999982,
38.0,0.0,3.9169999999999163,2.406999999999698,6.101000000000113,4.958000000000084,15.290999999999713,18.101000000000113,22.35799999999972,24.398999999999887,21.777000000000044,27.679000000000087,26.965999999999894,23.101000000000113,17.11299999999983,30.28099999999995,23.63000000000011,20.684999999999945,25.855000000000018,97.88900000000012,
39.0,0.0,4.4699999999998,2.9650000000001455,6.152999999999793,5.253000000000156,16.47699999999986,19.85199999999986,23.945000000000164,26.951000000000022,23.130999999999858,29.16899999999987,28.833000000000084,24.744000000000142,18.40599999999995,33.29899999999998,26.009000000000015,22.2829999999999,27.55600000000004,99.04199999999992,
40.0,0.0,3.961999999999989,2.8100000000004,5.322000000000116,4.981000000000222,17.36200000000008,20.519999999999982,25.563000000000102,44.50700000000006,23.855000000000018,32.034000000000106,30.353000000000065,26.057000000000244,19.401000000000295,36.31700000000001,27.506000000000313,23.179000000000087,28.675000000000182,100.56500000000005,
41.0,0.0,3.730000000000018,2.4340000000001965,5.535000000000309,4.760000000000218,18.421000000000276,22.458000000000084,27.185999999999694,60.896999999999935,25.243000000000393,33.66399999999976,49.176000000000386,27.68199999999979,20.575000000000273,39.53099999999995,29.221999999999753,24.24200000000019,29.748999999999796,97.9390000000003,
42.0,0.0,4.579000000000633,4.04700000000048,5.869000000000597,5.2280000000000655,19.110000000000582,23.64300000000003,28.855000000000473,64.00600000000031,26.351000000000568,35.423000000000684,60.54600000000028,46.39400000000023,21.157000000000153,42.462000000000444,31.004000000000815,25.856000000000677,31.351000000000568,,
43.0,0.0,3.957999999999629,3.4489999999996144,22.873999999999796,5.40099999999984,19.27099999999973,24.962999999999738,46.11999999999989,63.61999999999989,26.985999999999876,37.59600000000046,64.56700000000001,60.91899999999987,21.527000000000044,45.41600000000017,48.167999999999665,27.847999999999956,49.0649999999996,,
44.0,0.0,3.8239999999996144,3.393000000000029,31.907999999999447,20.862999999999374,35.39599999999973,42.313999999999396,55.10499999999956,64.21999999999935,44.055999999999585,55.41399999999976,64.99799999999959,63.50799999999981,39.5029999999997,106.77399999999943,57.259000000000015,46.662999999999556,58.764000000000124,,
45.0,13.219000000000051,0.0,17.27299999999923,28.277999999999338,25.71900000000005,41.460000000000036,47.69499999999971,51.97899999999936,60.27899999999954,49.92199999999957,59.110999999999876,62.292999999999665,61.39099999999962,45.05699999999979,124.56999999999971,54.76099999999951,51.10599999999977,58.15899999999965,,
46.0,20.769999999999527,0.0,24.478000000000065,32.26299999999992,25.936999999999898,44.27799999999934,49.34299999999985,52.49499999999989,59.78200000000015,51.697000000000116,59.297999999999774,61.95799999999963,61.68299999999999,47.055999999999585,138.0649999999996,54.28399999999965,52.04899999999998,58.1899999999996,,
47.0,3.8510000000005675,0.0,7.631000000000313,13.766000000000531,8.011000000000422,29.31500000000051,33.2470000000003,36.53099999999995,40.51100000000042,34.7470000000003,41.402000000000044,44.1220000000003,43.76900000000023,31.689000000000306,130.82899999999972,35.840000000000146,35.45600000000013,39.38100000000031,,
48.0,0.0,3.7750000000005457,4.338999999999942,8.947000000000116,4.704000000000633,28.110999999999876,31.190999999999804,36.51299999999992,37.59699999999975,31.878999999999905,38.07000000000062,44.10400000000027,41.569000000000415,30.025000000000546,132.98099999999977,33.39400000000023,32.38200000000052,36.625,,
49.0,0.0,5.024000000000342,4.29700000000048,12.765000000000327,5.262000000000626,30.64800000000014,32.56600000000071,38.152000000000044,38.91400000000067,33.246000000000095,39.61200000000008,45.53300000000036,43.20300000000043,31.947000000000116,138.4890000000005,34.05500000000029,33.69300000000021,38.29899999999998,,
50.0,0.0,4.621000000000095,3.845999999999549,12.582999999999629,6.645999999999731,31.835000000000036,33.534999999999854,39.193999999999505,40.17199999999957,34.439000000000306,40.90800000000036,47.52400000000034,45.29500000000007,33.336999999999534,142.817,35.810999999999694,35.03600000000006,39.488000000000284,,
51.0,0.0,5.561000000000604,5.9950000000008,12.49200000000019,7.170000000000073,33.181000000000495,34.81800000000021,40.09900000000016,41.00200000000041,35.72900000000027,42.45400000000063,48.926000000000386,47.324000000000524,34.4940000000006,146.7400000000007,36.65900000000056,36.28600000000006,40.19800000000032,,
52.0,0.0,5.286999999999352,6.545999999999367,12.336999999999534,7.079999999999927,34.15599999999995,38.16399999999976,41.02300000000014,43.202000000000226,39.63999999999942,45.17900000000009,54.46599999999944,52.784999999999854,39.08100000000013,189.53299999999945,39.99699999999939,40.5649999999996,68.48700000000008,,
53.0,0.0,5.526999999999134,7.485999999999876,12.52099999999973,7.891999999999825,43.18399999999929,46.1909999999998,59.67899999999918,60.76099999999951,53.719999999999345,61.19699999999921,71.01399999999921,69.22499999999945,51.675999999999476,234.08599999999933,74.01899999999932,-4.846000000000458,,,
54.0,0.0,6.65900000000056,29.020000000000437,35.087000000000444,11.219000000000051,44.65800000000036,49.66200000000026,60.90100000000075,62.58300000000054,56.13000000000011,63.33800000000065,93.35000000000036,74.23000000000047,53.301000000000386,259.34900000000016,,,,,
55.0,0.0,0.6929999999993015,6.796999999999571,10.923999999999978,2.061999999999898,14.746000000000095,16.221999999999753,23.90599999999995,25.60699999999997,20.64800000000014,27.105999999999767,62.08599999999933,37.534999999999854,18.857999999999265,224.8729999999996,,,,,
56.0,0.0,0.7670000000007349,5.8880000000008295,8.550000000000182,3.2620000000006257,9.381000000000313,11.032000000000153,15.153000000000247,17.416000000000167,13.28400000000056,17.812000000000808,24.32300000000032,19.52100000000064,12.421000000000276,187.88500000000022,,,,,
57.0,0.0,1.106999999999971,3.701000000000022,4.109000000000378,1.9840000000003783,5.846000000000458,7.545000000000073,12.092000000000553,13.550000000000182,10.931000000000495,14.764000000000124,18.243000000000393,17.095000000000255,9.676000000000386,154.54399999999987,,,,,
58.0,0.0,0.8130000000001019,1.6229999999995925,2.2609999999995125,1.1549999999997453,2.818000000000211,3.6220000000002983,5.619999999999891,6.0649999999996,5.139000000000124,6.832000000000335,7.932999999999993,7.197000000000116,4.699999999999818,99.97800000000007,,,,,
59.0,0.0,1.819999999999709,3.2049999999999272,4.167000000000371,2.380000000000109,5.083999999999833,6.199999999999818,8.484000000000378,9.136000000000422,7.864999999999782,10.259000000000015,12.1850000000004,11.003999999999905,7.052999999999884,101.87700000000041,,,,,
60.0,0.0,1.5840000000007421,2.83600000000024,4.360999999999876,2.1469999999999345,6.22400000000016,7.231999999999971,9.807999999999993,10.231000000000677,9.001000000000204,11.070000000000618,16.386000000000422,12.459000000000742,8.557000000000698,104.10400000000027,,,,,
61.0,0.0,1.8789999999999054,2.9970000000002983,4.695999999999913,2.375,7.274000000000342,9.10400000000027,12.36999999999989,12.463000000000648,11.45300000000043,12.99200000000019,18.445999999999913,14.19000000000051,12.125,107.05299999999988,,,,,
62.0,0.0,2.0850000000000364,3.46100000000024,4.826000000000022,3.024000000000342,8.636000000000422,11.22900000000027,14.403000000000247,14.878999999999905,13.511999999999716,15.45300000000043,20.042999999999665,16.34400000000005,13.993000000000393,109.73800000000028,,,,,
63.0,0.0,2.481999999999971,5.925000000000182,5.5,4.319999999999709,9.805999999999585,12.858000000000175,16.29699999999957,16.89300000000003,15.430999999999585,17.509000000000015,21.67699999999968,18.128999999999905,16.037000000000262,112.50900000000001,,,,,
64.0,0.0,2.9080000000003565,6.3289999999997235,5.8659999999999854,5.319999999999709,11.158000000000357,14.636999999999716,18.335000000000036,18.66899999999987,17.45799999999963,19.163000000000466,23.171000000000276,21.557999999999993,17.828999999999724,115.41300000000047,,,,,
65.0,0.0,3.199000000000524,6.0770000000002256,5.057999999999993,5.6850000000004,12.673999999999978,16.0570000000007,20.244000000000597,20.40600000000086,19.441000000000713,21.061000000000604,24.524000000000342,22.926000000000386,19.903000000000247,120.40200000000004,,,,,
66.0,0.0,3.1400000000003274,6.157000000000153,5.125,6.7960000000002765,14.029000000000451,17.949999999999818,22.47699999999986,22.697000000000116,21.99499999999989,26.16399999999976,26.855000000000473,27.47699999999986,42.97400000000016,123.34100000000035,,,,,
67.0,0.0,2.9279999999998836,5.75,5.277000000000044,8.188000000000102,15.375,19.84099999999944,23.898999999999432,24.89099999999962,24.5,27.076999999999316,28.23700000000008,31.732999999999265,46.050999999999476,125.82899999999972,,,,,
68.0,0.0,3.118000000000393,5.447000000000116,5.498000000000502,8.789999999999964,16.324000000000524,21.259000000000015,25.233000000000175,26.89100000000053,26.512000000000626,28.363000000000284,28.994000000000597,34.60400000000027,49.07300000000032,127.41200000000026,,,,,
69.0,0.0,3.257999999999811,4.9909999999999854,5.627999999999702,9.515000000000327,16.77599999999984,22.197000000000116,26.532000000000153,28.577000000000226,28.86999999999989,29.216999999999643,29.711999999999534,37.014000000000124,50.95399999999972,129.09699999999975,,,,,
70.0,0.0,3.8789999999999054,4.317000000000007,4.914999999999964,10.198999999999614,17.50999999999931,23.389999999999418,28.67199999999957,30.02099999999973,30.312999999999192,30.823999999999614,31.2529999999997,40.48699999999917,52.693999999999505,,,,,,
